Category Key	Hebrew Name	English Name	Keywords
גן_עוז	גן עוז	Daycare	גן עוז,גן ילדים,צהרון
משכנתא	משכנתא	Mortgage	משכנתא,פועלים-משכנתא
ועד_בית	ועד בית	HOA Fees	ועד בית,עזרא הסופר
ארנונה	ארנונה	Property Tax	ארנונה,עירייה,עיריית
ביטוחים	ביטוחים	Insurance	הראל,מגדל,כלל,ביטוח,פניקס,מנורה,קרן מכבי
חשמל	חשמל	Electricity	חברת חשמל,חשמל
מים	מים	Water	מי ,מים,מקורות
סופרמרקט	סופרמרקט	Supermarket	רמי לוי,שופרסל,יוחננוף,מגה,ויקטורי,סופר,המרכולית,קטיף עצמי,אושר עד
מסעדות	מסעדות ואוכל בחוץ	Restaurants	מסעדה,קפה,פיצה,מקדונלד,בורגר,שווארמה,לחמנינה,ארקפה,מוניציפל,נונומימי
רכב_ודלק	רכב ודלק	Car & Fuel	דלק,סונול,פז,דור אלון,yellow,רכב,מנטה,ten
ילדים	ילדים	Kids	צעצוע,toys,ילדים,בייבי,תמר זמיר
עוז	עוז	Oz (Son)	עוז
ספורט	ספורט	Sports	ספורט,כושר,gym,חדר כושר,יוגה,שחייה,בריכה
פארמה	פארמה	Pharmacy	סופר פארם,פארם,בית מרקחת,תרופ
תרומה	תרומה	Donations	תרומה,צדקה,עמותה,מפלגת המילואימניקים
תוכנות	תוכנות	Software	GOOGLE,APPLE,NETFLIX,SPOTIFY,AMAZON,MICROSOFT,CLAUDE
אטט	א.ט.ט	Internet/TV/Phone	בזק,הוט,פרטנר,סלקום,גולן,אינטרנט,טלפון
תחבורה	תחבורה	Transportation	רכבת ישראל,אגד,דן,מטרופולין,רב קו
קניות	קניות	Shopping	איקאה,זארה,H&M,קניון,ביג,עזריאלי,סוהו
בילויים	בילויים	Entertainment	סינמה,קולנוע,הופעה,תיאטרון,באולינג,OUTSIDER
משקאות	משקאות	Beverages	משקאות,החן שב,שיבולת הארץ,יין,בירה,אקספרס
מזומן	מזומן	Cash	כספומט,משיכה,ATM,מזומן,שיק
הכנסה	הכנסה	Income	משכורת,קצבת ילדים,החזר,זיכוי,מילואים,מופ"ת
העברות_כא	העברות כרטיס אשראי	CC Transfers	ישראכרט,מקס איט,כאל,לאומי קארד
פיצוציות	פיצוציות	Misc Small	נאייקס,מינימרקט,קיוסק
אחר	אחר	Other
